日期,池类型,股票代码,股票名称,现价,涨跌幅%,换手率%,连板天数,最后封板时间,首次封板时间,开板次数,封单额,流通市值,涨停原因
2026-08-07,涨停池,002141.SZ,贤丰控股,6.3,9.9476,21.2525,1,13:18:15,13:10:03,1,337208760.0,6507495500.0,未知
2026-08-07,涨停池,601208.SH,东材科技,45.94,10.0096,7.8031,4,13:17:46,13:17:46,,703617640.0,46407804000.0,未知
2026-08-07,涨停池,002827.SZ,高争民爆,54.16,9.9919,7.7807,8,13:15:30,09:54:21,6,36721184.0,14948091000.0,未知
2026-08-07,涨停池,300986.SZ,志特新材,14.8,20.0324,13.4156,1,13:13:21,11:13:57,1,430107540.0,8514691200.0,更名+模块化建筑+AI4S
2026-08-07,涨停池,300400.SZ,劲拓股份,31.28,19.9847,10.7932,1,13:11:12,13:11:12,,299809420.0,7585625200.0,未知
2026-08-07,涨停池,002579.SZ,中京电子,15.32,9.9785,24.7593,4,13:09:54,13:08:33,1,227048050.0,8937870200.0,未知
2026-08-07,涨停池,301047.SZ,义翘神州,107.88,20.0,9.965,4,13:07:42,13:02:15,2,159029360.0,12900357400.0,阿尔茨海默病+p-Tau217蛋白+CRO概念+生物试剂
2026-08-07,涨停池,688419.SH,耐科装备,49.67,20.0048,6.0276,1,13:06:47,13:02:29,1,95114275.0,5689781400.0,先进封装+存储芯片+订单饱满
2026-08-07,涨停池,301217.SZ,铜冠铜箔,118.8,20.0,7.023,1,13:06:03,13:06:03,,1030510760.0,98487047000.0,未知
2026-08-07,涨停池,603124.SH,江南新材,141.66,10.0016,8.8319,4,13:03:08,13:03:08,,222860220.0,10994064000.0,定增扩产+AI液冷散热+PCB铜基材料
2026-08-07,涨停池,002636.SZ,金安国纪,65.99,10.0017,9.0213,3,13:01:36,10:26:27,2,420983210.0,47797574000.0,覆铜板+PCB概念+扩产+半年报预增
2026-08-07,涨停池,002741.SZ,光华科技,26.3,9.9958,7.8115,1,13:01:06,13:01:06,,369041600.0,11309699400.0,PCB化学品+先进封装+半年度预增
2026-08-07,涨停池,001267.SZ,汇绿生态,42.69,9.9974,9.4431,6,11:27:15,11:27:15,,168330090.0,25979279000.0,光模块+重大资产重组+CPO+代工
2026-08-07,涨停池,600183.SH,生益科技,139.98,10.0039,2.6354,4,11:27:14,10:20:35,2,849238920.0,337596610000.0,AI覆铜板+PCB+半年报预增
2026-08-07,涨停池,688137.SH,近岸蛋白,46.72,20.0103,5.3106,1,11:26:55,11:26:55,,110972988.0,3266543400.0,CRO+重组蛋白+AI医药
2026-08-07,涨停池,600601.SH,方正科技,12.87,10.0,9.2576,2,11:25:16,10:20:22,16,314825880.0,53671675000.0,PCB+AI算力+业绩预增+珠海国资
2026-08-07,涨停池,600641.SH,先导基电,31.28,9.9859,8.2971,1,11:23:20,10:50:32,1,445345870.0,29110104000.0,铟+铋材料+半导体设备+存储芯片
2026-08-07,涨停池,000739.SZ,普洛药业,23.41,10.0094,3.3607,4,11:22:21,11:22:21,,127168387.0,27108305000.0,氟泽雷塞获批+CDMO+创新药合作
2026-08-07,涨停池,002631.SZ,德尔未来,8.68,10.0127,3.9481,1,11:17:48,11:17:48,,165710750.0,6888208000.0,石墨烯+家居+业绩减亏
2026-08-07,涨停池,003007.SZ,直真科技,41.79,10.0026,5.875,1,11:12:30,11:12:30,,83847456.0,3033438200.0,算力+6G概念+OSS+业绩减亏
2026-08-07,涨停池,603567.SH,珍宝岛,7.08,9.9379,13.8818,4,11:08:24,09:42:03,1,163014960.0,6650975300.0,中药+创新药+CXO概念
2026-08-07,涨停池,002589.SZ,瑞康医药,3.04,10.1449,11.4977,1,11:05:03,09:51:30,2,146824730.0,4151398300.0,创新药+医药商业+中药
2026-08-07,涨停池,001296.SZ,长江材料,19.94,9.9835,6.7889,1,11:03:48,11:02:06,2,67176684.0,1537307600.0,3D打印+覆膜砂+油气勘探
2026-08-07,涨停池,002437.SZ,誉衡药业,3.12,9.8592,10.6214,1,11:00:09,09:41:06,1,224755570.0,6552480000.0,创新药+CNS研发+业绩增长+仿制药龙头
2026-08-07,涨停池,688265.SH,南模生物,42.9,20.0,4.7605,1,10:57:15,10:57:15,,65392556.0,3344634700.0,AI制药+基因修饰模型+CRO服务
2026-08-07,涨停池,600651.SH,飞乐音响,6.4,9.9656,1.6581,1,10:49:15,10:48:33,1,160879360.0,16044979000.0,减持未实施+芯片测试+医疗器械+上海国资
2026-08-07,涨停池,002913.SZ,奥士康,55.42,10.004,2.0959,4,10:49:06,10:49:06,,168685400.0,16927425000.0,PCB+AI服务器+回购完成
2026-08-07,涨停池,688073.SH,毕得医药,61.6,20.0078,5.9676,1,10:49:02,10:49:02,,154864560.0,5598389600.0,创新药+药物分子砌块
2026-08-07,涨停池,002428.SZ,云南锗业,100.08,10.0022,17.8222,4,10:48:42,10:10:57,1,355013580.0,65355805000.0,磷化铟+重大合同+锗业龙头
2026-08-07,涨停池,301080.SZ,百普赛斯,64.75,19.9963,11.3728,1,10:45:03,10:36:42,1,189673410.0,8212718800.0,AI蛋白质设计+创新药+CGT+回购注销
2026-08-07,涨停池,600500.SH,中化国际,5.51,9.98,4.1827,1,10:36:04,10:31:58,1,273518490.0,19771568000.0,覆铜板上游（PPE树脂）+光纤概念+拟收购南通星辰
2026-08-07,涨停池,688813.SH,泰金新能,131.52,20.0,23.0712,1,10:32:18,10:32:18,,211902000.0,3955723900.0,PCB+铜箔装备+CPO+陕西国资
2026-08-07,涨停池,002762.SZ,金发拉比,10.41,10.0423,8.636,1,10:29:30,10:09:03,1,13346661.0,2200449500.0,母婴用品+摘帽+中报预计扭亏
2026-08-07,涨停池,002821.SZ,凯莱英,172.26,10.0,3.2828,4,10:18:06,10:18:06,,372143790.0,54613975000.0,创新药+多肽CDMO+增资子公司
2026-08-07,涨停池,603186.SH,华正新材,143.0,10.0,10.5687,4,10:17:34,10:16:13,1,256020620.0,22421044000.0,覆铜板+AI算力+定增受理+半年报预增
2026-08-07,涨停池,603936.SH,博敏电子,15.93,10.0138,6.6959,4,10:16:05,10:16:05,,172787930.0,10042240200.0,AI服务器PCB+800G光模块+陶瓷衬板
2026-08-07,涨停池,603660.SH,苏州科达,11.99,10.0,5.6334,1,10:12:49,10:12:49,,126062368.0,6852197400.0,AI应用+低空经济+卫星数据应用+视频会议
2026-08-07,涨停池,688046.SH,药康生物,33.31,19.9928,3.5895,1,10:11:37,10:05:37,2,100409231.0,13663302000.0,创新药+海外扩张+模式动物+中报预增
2026-08-07,涨停池,688020.SH,方邦股份,146.16,20.0,6.6356,1,10:11:33,10:11:33,,274817190.0,12044022500.0,可剥铜+铜箔+电磁屏蔽膜
2026-08-07,涨停池,600110.SH,诺德股份,10.46,9.9895,6.7905,1,10:09:11,10:09:11,,562650750.0,18149993000.0,铜箔+HVLP+固态电池+半年报扭亏
2026-08-07,涨停池,002281.SZ,光迅科技,193.04,10.0006,5.2944,4,10:07:27,10:07:27,,1773130500.0,151793230000.0,光模块+半年报预增+H股上市
2026-08-07,涨停池,603773.SH,沃格光电,95.07,9.9965,9.6615,4,10:03:16,09:31:10,3,108218181.0,21360198000.0,TGV玻璃基板+先进封装+6G
2026-08-07,涨停池,600206.SH,有研新材,48.17,10.0023,10.5724,3,10:00:37,10:00:37,,581952270.0,40778474000.0,半年报增长+半导体靶材+稀土+央企
2026-08-07,涨停池,301366.SZ,一博科技,53.33,20.0045,16.3714,1,09:57:48,09:57:48,,326949220.0,6239415900.0,PCB+AI硬件+光模块+半年报增长
2026-08-07,涨停池,601865.SH,福莱特,11.75,10.0187,2.5014,1,09:57:38,09:57:38,,238703620.0,22337050000.0,光伏玻璃+减供稳价+收购新材料公司
2026-08-07,涨停池,000831.SZ,中国稀土,57.19,10.0019,5.3671,1,09:55:39,09:55:39,,929143050.0,60691218000.0,稀土+一季报增长+央企
2026-08-07,涨停池,603459.SH,红板科技,105.58,10.0021,22.7109,4,09:51:45,09:39:18,1,362737300.0,8346295200.0,HDI技改扩产+AI算力+PCB
2026-08-07,涨停池,002037.SZ,保利联合,7.69,10.0143,4.6522,1,09:51:30,09:34:00,1,92551142.0,3721064600.0,民爆一体化+资产注入预期+央企
2026-08-07,涨停池,002900.SZ,哈三联,13.48,10.0408,19.0653,4,09:48:54,09:48:54,,143851820.0,2171930000.0,创新药+化学制药+中报预计减亏
2026-08-07,涨停池,603228.SH,景旺电子,94.95,9.9977,3.3516,2,09:47:37,09:31:07,2,1180848810.0,93232689000.0,AI算力PCB+光模块+汽车电子
2026-08-07,涨停池,603758.SH,秦安股份,10.48,9.9685,1.6769,1,09:45:14,09:45:14,,65182456.0,4539056200.0,人形机器人+真空镀膜+发动机核心零部件+回购注销
2026-08-07,涨停池,603137.SH,恒尚节能,27.5,10.0,13.1754,1,09:43:22,09:36:01,2,149864850.0,5030666700.0,跨界存储+建筑幕墙+新签项目增长
2026-08-07,涨停池,603655.SH,朗博科技,30.04,9.9963,1.3033,1,09:43:14,09:43:14,,43909468.0,3184240000.0,橡胶密封件+新能源汽车+年报增长
2026-08-07,涨停池,600272.SH,开开实业,12.97,10.0085,9.6964,2,09:39:52,09:39:16,1,72980893.0,2075200000.0,SPD+医药商业+上海国资
2026-08-07,涨停池,600267.SH,海正药业,13.11,9.9832,4.5934,1,09:38:57,09:37:48,3,235837660.0,15473367000.0,创新药+宠物药+中报预增+椒江国资
2026-08-07,涨停池,001223.SZ,欧克科技,41.17,9.992,4.5364,1,09:37:33,09:34:09,1,115519315.0,2875098700.0,PCB设备+PI膜+薄膜材料
2026-08-07,涨停池,603757.SH,大元泵业,65.01,10.0,2.4054,4,09:37:01,09:35:43,1,254921180.0,12127437300.0,液冷服务器+屏蔽泵+实控人变更
2026-08-07,涨停池,002742.SZ,冀衡医药,4.13,10.1333,2.6471,1,09:34:39,09:33:45,1,74574171.0,2164541400.0,减肥药+医药制造+资产注入+高管增持
2026-08-07,涨停池,002194.SZ,武汉凡谷,11.1,10.0099,11.7697,2,09:34:09,09:32:06,2,140762150.0,5670755200.0,6G预研+滤波器龙头+卫星通信
2026-08-07,涨停池,600664.SH,哈药股份,6.84,9.9678,10.3436,1,09:33:28,09:33:28,,981339110.0,17226608000.0,创新药+拟中标集采+业绩预增
2026-08-07,涨停池,002443.SZ,金洲管道,9.33,10.0236,2.3397,1,09:32:21,09:32:21,,153930070.0,4856596400.0,液冷服务器+氢能管道+国企改革
