日期,池类型,股票代码,股票名称,现价,涨跌幅%,换手率%,连板天数,最后封板时间,首次封板时间,开板次数,封单额,流通市值,涨停原因
2026-05-15,涨停池,603378.SH,*ST亚士,5.37,5.0881,11.5505,4,14:56:14,14:56:14,,74288.58,2301564000.0,重整预期+涂装业务+ST反弹
2026-05-15,涨停池,600386.SH,北巴传媒,4.36,10.101,6.366,1,14:55:33,10:08:24,1,2492276.3,3515904000.0,广告传媒+汽车服务+北京国资
2026-05-15,涨停池,000608.SZ,*ST阳光,4.17,5.0378,4.2109,1,14:55:24,13:19:15,2,1352706.3,3108432900.0,摘星脱帽预期+商业地产运营+控制权变更
2026-05-15,涨停池,002581.SZ,*ST未名,5.44,5.0193,3.537,1,14:54:48,09:30:57,8,456949.12,2180303900.0,创新药+收到参股分红+*ST风险
2026-05-15,涨停池,603310.SH,巍华新材,17.66,10.0312,10.5942,1,14:54:33,09:57:36,2,14807892.0,3426216600.0,氟化工+三氟甲基苯+一季报增长
2026-05-15,涨停池,300263.SZ,隆华科技,13.74,20.0,24.0452,1,14:53:27,10:07:06,24,7970574.0,13403770500.0,三星供应链+靶材+商业航天+业绩增长
2026-05-15,涨停池,000595.SZ,*ST宝实,7.6,4.9724,2.7905,1,14:51:09,14:51:09,,14605680.0,8653788400.0,撤销退市风险警示申请+风光储+宁夏国资
2026-05-15,涨停池,002971.SZ,和远气体,41.21,10.0107,20.4352,5,14:45:15,14:44:03,2,51165100.0,6445299600.0,电子特气+硅基新材料
2026-05-15,涨停池,600088.SH,中视传媒,18.65,10.0295,8.7602,1,14:44:45,09:42:09,1,57318910.0,7417224400.0,微短剧+一季报扭亏+央企
2026-05-15,涨停池,601133.SH,柏诚股份,28.18,9.9922,5.9417,1,14:42:29,10:16:51,10,46249016.0,14777218000.0,存储芯片+半导体洁净室+海外扩张
2026-05-15,涨停池,688697.SH,纽威数控,24.18,20.0,7.2853,1,14:39:57,11:01:27,10,11393350.0,11058321100.0,人形机器人+工业母机+订单充足
2026-05-15,涨停池,603078.SH,江化微,30.25,10.0,12.7791,1,14:37:34,09:36:43,10,52341000.0,11665526800.0,氢氟酸涨价+湿电子化学品+上海国资入主
2026-05-15,涨停池,688549.SH,中巨芯,16.79,20.0143,12.1317,1,14:33:01,09:30:04,1,165431100.0,9894666000.0,电子级氢氟酸+一季报扭亏为盈+电子特气+存储芯片材料
2026-05-15,涨停池,002175.SZ,*ST东智,2.97,4.947,7.8095,4,14:29:48,09:33:15,24,4445258.4,3792038800.0,广西国资拟入主+智能物流+*ST博弈
2026-05-15,涨停池,002181.SZ,粤传媒,19.69,10.0,8.8945,1,14:29:45,09:39:54,8,77169836.0,22339036000.0,AI视频/短剧+世界杯+传媒主业+广州国资
2026-05-15,涨停池,301081.SZ,严牌股份,20.3,19.9764,8.5262,1,14:28:42,14:28:42,,67098910.0,4435897600.0,环保过滤+机织滤布+增持贷款
2026-05-15,涨停池,000518.SZ,*ST四环,3.23,4.8701,3.7265,1,14:28:30,13:45:09,4,1436704.0,3325400300.0,申请撤销退市风险警示+生物医药+营收增长
2026-05-15,涨停池,300878.SZ,维康药业,36.2,19.9867,8.5599,1,14:25:54,14:08:06,9,4836320.0,5217287300.0,创新药+业绩改善预期+主营业务企稳
2026-05-15,涨停池,002918.SZ,蒙娜丽莎,18.63,9.9764,22.2572,6,14:21:54,09:30:00,4,62971077.0,3990389100.0,先进陶瓷+建筑陶瓷+地产链
2026-05-15,涨停池,002196.SZ,方正电机,15.36,10.0287,21.79,1,14:18:57,11:07:45,1,135358460.0,7501983900.0,人形机器人+新能源电机+地方国资
