日期,池类型,股票代码,股票名称,现价,涨跌幅%,换手率%,连板天数,最后封板时间,首次封板时间,开板次数,封单额,流通市值,涨停原因
2026-07-08,涨停池,301251.SZ,威尔高,60.92,19.9921,29.6075,2,15:00:00,09:30:33,15,2435581.6,4604926200.0,AI电源PCB+DC/DC订单+产能释放
2026-07-08,涨停池,600350.SH,山东高速,13.49,10.0326,0.2483,1,14:53:32,14:49:50,60,9565516.2,65218360000.0,高速公路+高股息+山东国资
2026-07-08,涨停池,600187.SH,*ST国中,1.54,10.0,4.5295,4,14:50:55,14:42:37,1,1866065.7,2485222900.0,增持+中报扭亏+污水处理
2026-07-08,涨停池,002512.SZ,ST达华,3.4,10.0324,3.851,1,14:31:18,14:21:21,2,4895320.0,3721136100.0,控股权变更+卫星通信+一季报扭亏
2026-07-08,涨停池,603137.SH,恒尚节能,22.91,9.9856,25.5365,7,14:23:06,09:25:03,1,47436209.0,4191002700.0,拟收购存储公司+建筑幕墙+跨界转型
2026-07-08,涨停池,603285.SH,键邦股份,48.42,9.9955,14.3352,1,14:17:34,14:17:34,,110983482.0,3016410100.0,高分子助剂+电磁线漆+AI算力+自动化设备收购
2026-07-08,涨停池,000838.SZ,*ST发展,1.88,9.9415,4.9096,5,14:17:33,14:09:27,1,2905446.0,1981079800.0,重整+房地产
2026-07-08,涨停池,002542.SZ,*ST中岩,1.33,9.9174,2.7469,6,14:13:51,14:13:51,,2734480.0,2339165800.0,保壳+低空经济+成都国资
2026-07-08,涨停池,603313.SH,梦百合,7.06,9.9688,7.7956,1,14:11:01,14:11:01,,121222403.0,4028343400.0,智能家居+跨境电商+美国产能
2026-07-08,涨停池,603789.SH,ST星农,7.03,10.0156,6.9868,7,14:00:20,13:45:14,1,4015536.0,1827800000.0,控制权变更+新能源+农业机械
2026-07-08,涨停池,000639.SZ,ST西王,1.34,9.8361,6.5268,6,13:57:00,13:30:21,3,3115768.0,1446431900.0,高管增持+玉米油龙头+资产剥离
2026-07-08,涨停池,002841.SZ,视源股份,47.39,10.0046,5.5301,2,13:55:24,09:34:24,5,34686163.0,24706561000.0,中报预增+AI教育+机器人
2026-07-08,涨停池,601010.SH,ST文峰,1.64,10.0671,2.8963,6,13:52:44,10:40:20,5,3183732.0,3030720000.0,ST板块+航天科技+回购注销+零售
2026-07-08,涨停池,002951.SZ,金时科技,16.32,9.973,6.6758,2,13:49:03,13:49:03,,43801248.0,6546350600.0,超级电容+间接投资光纤公司+投建多孔炭产线+储能
2026-07-08,涨停池,002677.SZ,浙江美大,6.57,10.0503,3.8474,4,13:39:27,13:09:51,1,35868501.0,3623419700.0,AI厨电+集成灶龙头+智能驾驶
2026-07-08,涨停池,300369.SZ,绿盟科技,6.48,20.0,11.0171,1,13:33:39,13:12:12,2,41913042.0,5233914500.0,AI安全+数据安全+算力
2026-07-08,涨停池,600759.SH,ST洲际,2.41,10.0457,6.3375,6,13:23:58,13:23:58,,39068267.0,9986282700.0,控制权变动风险消除+油气开采+ST板块
2026-07-08,涨停池,603183.SH,建研院,4.05,10.0543,11.2567,1,13:23:25,13:06:52,1,20742569.0,2013470700.0,数据中心+成立人工智能公司+城市更新+工程检测
2026-07-08,涨停池,002152.SZ,广电运通,10.08,10.0437,1.8162,1,13:19:06,13:19:06,,122720774.0,25019908000.0,华为昇腾+算力+具身智能+广州国资
2026-07-08,涨停池,300454.SZ,深信服,106.56,20.0,9.1062,1,13:15:18,11:20:42,1,176987420.0,30689593000.0,AI算力网关+算力租赁+间接持股宇树
2026-07-08,涨停池,301321.SZ,翰博高新,49.81,19.9952,9.5934,1,13:12:51,13:12:51,,108027181.0,7352746200.0,湿电子化学品+Mini-LED+车载显示+一季报扭亏
2026-07-08,涨停池,600288.SH,大恒科技,17.11,10.0322,27.9287,3,13:08:05,11:16:20,2,59318419.0,7473648000.0,机器视觉+半导体+机器人
2026-07-08,涨停池,001365.SZ,天海电子,47.81,10.0092,36.6921,2,13:07:24,13:07:24,,130937247.0,2749344900.0,人形机器人+汽车线束龙头+广州国资
2026-07-08,涨停池,603339.SH,四方科技,15.47,10.0284,10.9549,1,13:04:41,10:57:11,2,80852470.0,4787055000.0,液冷服务器+冷链装备+员工持股
2026-07-08,涨停池,603296.SH,华勤技术,78.29,10.0042,6.2221,1,11:20:33,09:30:30,1,73445337.0,62522085000.0,超节点+AI服务器+增持
2026-07-08,涨停池,603661.SH,恒林股份,42.67,10.0026,8.92,1,11:12:10,11:11:31,1,18350660.0,5933990200.0,投资GPU公司+培育钻石+家居用品+出口
2026-07-08,涨停池,002910.SZ,庄园牧场,12.87,10.0,18.2211,3,11:04:36,11:04:36,,234620100.0,2201567300.0,乳业+文创联名+国企改革
2026-07-08,涨停池,002642.SZ,荣联科技,6.7,10.0164,4.5905,1,11:02:03,11:02:03,,29123821.0,4432588100.0,算力服务+AI应用+股份转让+国企
2026-07-08,涨停池,600602.SH,云赛智联,16.38,10.0067,3.7081,1,10:57:10,10:31:55,1,63724752.0,17597083000.0,算力租赁+人工智能+上海国资
2026-07-08,涨停池,001207.SZ,联科科技,16.28,10.0,4.7197,1,10:51:24,09:56:57,1,57399015.0,4763887700.0,炭黑+高压电缆屏蔽料+固态电池+股份变动
2026-07-08,涨停池,002674.SZ,兴业科技,29.15,10.0,9.1461,1,10:46:45,10:46:06,1,69814250.0,8528230500.0,磷化铟收购+机器人电子皮肤+汽车内饰皮革
2026-07-08,涨停池,000948.SZ,南天信息,12.72,10.0346,2.7183,1,10:42:24,10:42:24,,74547036.0,4949979000.0,数据中心+金融科技+诉讼回款+国企改革
2026-07-08,涨停池,603881.SH,数据港,24.21,9.9955,4.8927,1,10:31:46,10:31:46,,162789660.0,20870289000.0,算力租赁+智算业务+上海国资
2026-07-08,涨停池,002757.SZ,南兴股份,18.41,9.9761,5.5038,1,10:27:54,10:27:54,,81904249.0,5192599800.0,算力租赁+CDN+家具智造
2026-07-08,涨停池,002467.SZ,二六三,4.69,10.0939,6.3774,1,10:25:45,10:24:12,3,91072765.0,6410332800.0,数据中心+云网融合+AI数字人
2026-07-08,涨停池,002350.SZ,北京科锐,15.07,10.0,4.2341,1,10:20:15,10:20:15,,50420287.0,7995389600.0,储能出海+电网中标+配电设备
2026-07-08,涨停池,300017.SZ,网宿科技,14.66,19.9673,12.1847,1,10:08:45,10:06:18,1,274251720.0,34325498000.0,CDN涨价+液冷+算力租赁+边缘AI
2026-07-08,涨停池,000506.SZ,招金黄金,13.42,10.0,5.4299,5,10:00:27,10:00:27,,109402524.0,12463247400.0,黄金+一季报扭亏+国企
2026-07-08,涨停池,603928.SH,兴业股份,16.36,10.0202,14.3911,1,09:54:23,09:44:38,1,103898761.0,5573917400.0,半导体光刻胶+CVD硅碳负极+铸造树脂
2026-07-08,涨停池,002490.SZ,山东墨龙,6.97,9.9369,9.5475,1,09:52:15,09:52:15,,41433158.0,3775802300.0,油气装备+海外大单+山东国资
2026-07-08,涨停池,000759.SZ,中百集团,6.48,10.017,9.7572,1,09:50:30,09:50:30,,113267743.0,4248975000.0,商业零售+本地生活+国企
2026-07-08,涨停池,600129.SH,太极集团,14.96,10.0,4.0904,1,09:42:58,09:38:16,3,77642550.0,8249216000.0,藿香正气口服液+创新药+央企
2026-07-08,涨停池,000078.SZ,ST海王,1.98,10.0,4.4624,6,09:40:48,09:40:48,,51885102.0,5197927100.0,miRNA肿瘤早筛+摘帽预期+医药全产业链
2026-07-08,涨停池,301202.SZ,朗威股份,39.19,19.9939,5.5979,1,09:38:24,09:38:24,,98147514.0,3120209800.0,液冷+数据中心+算力+维谛合作
2026-07-08,涨停池,600749.SH,西藏旅游,15.33,9.9713,7.5583,1,09:37:25,09:30:15,4,37402134.0,3479381400.0,智慧旅游+入境游
2026-07-08,涨停池,603496.SH,恒为科技,24.54,9.9955,4.2053,1,09:37:23,09:37:23,,126887776.0,7857934800.0,算力租赁+华为昇腾+拟收购数珩科技
2026-07-08,涨停池,002546.SZ,新联电子,7.34,10.045,3.6305,1,09:36:21,09:30:48,3,54564092.0,5881043600.0,中报预增+虚拟电厂+用电信息采集
2026-07-08,涨停池,002396.SZ,星网锐捷,29.1,10.0189,7.2972,7,09:34:57,09:34:57,,284789130.0,22040780000.0,半年报预增+数据中心交换机+CPO+福建国资
2026-07-08,涨停池,600094.SH,大名城,4.22,9.8958,0.8348,2,09:30:55,09:30:55,,71404033.0,8972690400.0,算力运营+6G通信+低空经济+地产转型
2026-07-08,涨停池,603380.SH,易德龙,47.29,10.0023,3.0999,1,09:30:49,09:30:49,,69213644.0,7587264300.0,AI服务器+人形机器人+柔性EMS龙头
2026-07-08,涨停池,600756.SH,浪潮软件,13.23,9.9751,1.8454,1,09:30:00,09:30:00,,152156340.0,4287826500.0,浪潮系联动+AI政务+山东国资
2026-07-08,涨停池,001229.SZ,魅视科技,42.7,9.9948,1.5323,2,09:25:00,09:25:00,,80468748.0,3149176500.0,AI视觉+边缘计算+光纤KVMS+商业航天
2026-07-08,涨停池,001208.SZ,华菱线缆,14.85,10.0,2.2005,1,09:25:00,09:25:00,,138109460.0,4733194800.0,英伟达液冷+商业航天+机器人+湖南国资
2026-07-08,涨停池,000977.SZ,浪潮信息,78.17,10.0056,2.7847,1,09:25:00,09:25:00,,3453244600.0,114662242000.0,中报预增+AI服务器+液冷服务器+山东国资
2026-07-08,涨停池,000524.SZ,岭南控股,9.85,10.0559,0.4588,1,09:25:00,09:25:00,,156458380.0,6599178300.0,资产重组+复牌+旅游综合+广州国资
2026-07-08,炸板池,300588.SZ,熙菱信息,25.7,17.1911,13.3113,1,09:37:12,09:35:12,1,0.0,4544326200.0,未知
2026-07-08,炸板池,688508.SH,芯朋微,98.09,16.8016,15.3996,1,14:43:51,13:51:42,2,0.0,12989111700.0,未知
2026-07-08,炸板池,688691.SH,灿芯股份,113.98,15.8687,35.8099,1,14:42:19,11:20:28,2,0.0,8316551800.0,未知
2026-07-08,炸板池,600488.SH,津药药业,5.49,10.02,16.9567,1,10:23:48,09:52:57,182,0.0,5994457900.0,未知
2026-07-08,炸板池,002856.SZ,*ST美芝,18.03,10.0061,7.5257,1,14:56:57,14:41:57,2,0.0,2233997100.0,未知
2026-07-08,炸板池,603178.SH,圣龙股份,17.84,9.1131,16.8157,1,14:56:22,14:54:40,1,0.0,4217588000.0,未知
2026-07-08,炸板池,002038.SZ,双鹭药业,6.34,8.7479,10.4747,1,10:20:33,09:43:06,2,0.0,5401117700.0,未知
2026-07-08,炸板池,603065.SH,宿迁联盛,21.91,8.1975,17.8822,1,14:56:13,14:47:16,3,0.0,9179579500.0,未知
2026-07-08,炸板池,003013.SZ,地铁设计,15.29,8.0565,3.2285,1,13:46:39,13:46:33,1,0.0,6153864100.0,未知
2026-07-08,炸板池,000938.SZ,紫光股份,33.62,6.798,16.7788,1,13:32:36,09:30:00,2,0.0,96155643000.0,未知
